schema,table,columns,row_estimate,total_bytes
auth,audit_log_entries,5,-1,24576
auth,flow_state,17,11,114688
auth,identities,9,0,81920
auth,instances,5,-1,16384
auth,mfa_amr_claims,5,2,65536
auth,mfa_challenges,7,-1,24576
auth,mfa_factors,13,-1,57344
auth,oauth_authorizations,17,-1,40960
auth,oauth_client_states,4,-1,24576
auth,oauth_clients,13,-1,24576
auth,oauth_consents,6,-1,49152
auth,one_time_tokens,7,0,114688
auth,refresh_tokens,9,1,172032
auth,saml_providers,9,-1,32768
auth,saml_relay_states,8,-1,40960
auth,schema_migrations,1,72,24576
auth,sessions,15,1,131072
auth,sso_domains,5,-1,32768
auth,sso_providers,5,-1,32768
auth,users,35,9,204800
public,analytics_events,7,3858,1359872
public,analytics_sessions,13,157,114688
public,cat_assets,13,217,131072
public,cat_brands,12,9,401408
public,cat_hsn_codes,11,32,65536
public,cat_ins_rules,17,-1,49152
public,cat_item_suitability,5,-1,32768
public,cat_items,29,118,491520
public,cat_price_dealer,17,118,172032
public,cat_price_state,23,59,458752
public,cat_price_state_history,9,-1,40960
public,cat_price_state_trash,23,98,73728
public,cat_raw_items,17,-1,49152
public,cat_reg_rules,14,1,65536
public,cat_regional_configs,8,36,49152
public,cat_services,11,-1,32768
public,cat_templates,9,6,114688
public,cat_tenure_config,9,-1,49152
public,crm_allotments,10,-1,32768
public,crm_assets,11,-1,24576
public,crm_bank_apps,9,-1,24576
public,crm_booking_assets,10,-1,16384
public,crm_bookings,34,-1,65536
public,crm_dealer_shares,6,-1,24576
public,crm_finance,14,-1,40960
public,crm_insurance,11,-1,24576
public,crm_lead_assets,10,-1,16384
public,crm_lead_events,7,-1,24576
public,crm_leads,32,6,147456
public,crm_payments,14,-1,40960
public,crm_pdi,11,-1,24576
public,crm_quotes,23,-1,81920
public,crm_registration,10,-1,24576
public,debug_logs,9,-1,32768
public,i18n_languages,8,-1,32768
public,i18n_source_strings,5,691,229376
public,i18n_sync_runs,11,-1,98304
public,i18n_translations,8,691,409600
public,id_bank_accounts,13,-1,24576
public,id_dealer_pricing_rules,20,-1,32768
public,id_dealer_service_areas,7,-1,49152
public,id_documents,13,-1,24576
public,id_locations,18,1,65536
public,id_member_addresses,12,-1,16384
public,id_member_assets,10,-1,32768
public,id_member_contacts,8,-1,24576
public,id_member_events,7,-1,16384
public,id_member_spins,15,-1,81920
public,id_member_tenants,7,22281,6619136
public,id_members,50,22284,27287552
public,id_operating_hours,8,-1,24576
public,id_primary_dealer_districts,7,-1,49152
public,id_team,8,1,57344
public,id_tenants,14,5,180224
public,inv_ledger,7,-1,24576
public,inv_marketplace,6,-1,24576
public,inv_po_items,6,-1,24576
public,inv_purchase_orders,14,-1,49152
public,inv_req_items,5,-1,24576
public,inv_requisitions,7,-1,40960
public,inv_stock,11,-1,81920
public,loc_pincodes,13,1604,737280
public,mat_market_summary,10,-1,81920
public,notifications,8,-1,24576
public,registration_rules,13,-1,49152
public,sys_analytics_events,7,4673,1646592
public,sys_analytics_sessions,15,389,221184
public,sys_archived,7,-1,16384
public,sys_dashboard_templates,9,-1,73728
public,sys_error_log,12,-1,24576
public,sys_page_registry,11,-1,32768
public,sys_role_templates,6,-1,49152
public,sys_schema_registry,10,-1,32768
public,sys_settings,3,-1,24576
realtime,messages_2026_02_02,8,-1,24576
realtime,messages_2026_02_03,8,-1,24576
realtime,messages_2026_02_04,8,-1,24576
realtime,messages_2026_02_05,8,-1,24576
realtime,messages_2026_02_06,8,-1,24576
realtime,messages_2026_02_07,8,-1,24576
realtime,messages_2026_02_08,8,-1,24576
realtime,schema_migrations,2,65,24576
realtime,subscription,8,3,122880
storage,buckets,11,-1,49152
storage,buckets_analytics,7,-1,24576
storage,buckets_vectors,4,-1,16384
storage,migrations,4,-1,40960
storage,objects,13,51,221184
storage,prefixes,5,-1,49152
storage,s3_multipart_uploads,9,-1,24576
storage,s3_multipart_uploads_parts,10,-1,16384
storage,vector_indexes,9,-1,24576
supabase_migrations,schema_migrations,6,168,319488
vault,secrets,8,-1,24576