table,columns,n_live_tup,n_dead_tup,total_bytes,rls_enabled,has_pk
analytics_events,7,4010,0,1359872,True,yes
analytics_sessions,13,160,49,114688,True,yes
cat_assets,13,225,59,131072,True,yes
cat_brands,12,15,8,401408,True,yes
cat_hsn_codes,11,32,36,65536,True,yes
cat_ins_rules,17,1,3,49152,True,yes
cat_item_suitability,5,0,0,32768,True,yes
cat_items,29,118,12,491520,True,yes
cat_price_dealer,17,118,20,172032,True,yes
cat_price_state,23,59,32,458752,True,yes
cat_price_state_history,9,0,0,40960,True,yes
cat_price_state_trash,23,98,0,73728,False,no
cat_raw_items,17,0,5,49152,True,yes
cat_reg_rules,14,1,3,65536,True,yes
cat_regional_configs,8,36,36,49152,True,yes
cat_services,11,7,0,32768,True,yes
cat_templates,9,6,26,114688,True,yes
cat_tenure_config,9,3,0,49152,True,yes
crm_allotments,10,0,0,32768,True,yes
crm_assets,11,0,0,24576,False,yes
crm_bank_apps,9,0,0,24576,True,yes
crm_booking_assets,10,0,0,16384,True,yes
crm_bookings,34,0,0,65536,True,yes
crm_dealer_shares,6,0,0,24576,True,yes
crm_finance,14,0,0,40960,False,yes
crm_insurance,11,0,0,24576,True,yes
crm_lead_assets,10,0,0,16384,True,yes
crm_lead_events,7,0,0,24576,True,yes
crm_leads,32,9,17,147456,True,yes
crm_payments,14,0,0,40960,False,yes
crm_pdi,11,0,0,24576,True,yes
crm_quotes,23,3,1,81920,True,yes
crm_registration,10,0,0,24576,True,yes
debug_logs,9,12,0,32768,True,yes
i18n_languages,8,4,32,32768,True,yes
i18n_source_strings,5,691,0,229376,True,yes
i18n_sync_runs,11,8,8,98304,True,yes
i18n_translations,8,691,0,409600,True,yes
id_bank_accounts,13,0,0,24576,True,yes
id_dealer_pricing_rules,20,0,0,32768,True,yes
id_dealer_service_areas,7,14,20,49152,True,yes
id_documents,13,0,0,24576,True,yes
id_locations,18,2,2,65536,True,yes
id_member_addresses,12,0,0,16384,False,yes
id_member_assets,10,3,16,32768,True,yes
id_member_contacts,8,0,0,24576,False,yes
id_member_events,7,0,0,16384,False,yes
id_member_spins,15,1,0,81920,True,yes
id_member_tenants,7,22281,3779,6619136,False,yes
id_members,50,22284,16,27287552,True,yes
id_operating_hours,8,0,0,24576,True,yes
id_primary_dealer_districts,7,11,4,49152,True,yes
id_team,8,6,4,57344,True,yes
id_tenants,14,7,29,180224,True,yes
inv_ledger,7,0,0,24576,False,yes
inv_marketplace,6,0,0,24576,True,yes
inv_po_items,6,0,0,24576,True,yes
inv_purchase_orders,14,0,0,49152,True,yes
inv_req_items,5,0,0,24576,True,yes
inv_requisitions,7,0,0,40960,True,yes
inv_stock,11,0,0,81920,True,yes
loc_pincodes,13,1604,1,737280,True,yes
mat_market_summary,10,5,0,81920,False,yes
notifications,8,0,0,24576,True,yes
registration_rules,13,1,0,49152,True,yes
sys_analytics_events,7,4721,0,1646592,True,yes
sys_analytics_sessions,15,389,94,221184,True,yes
sys_archived,7,0,0,16384,True,yes
sys_dashboard_templates,9,15,3,73728,True,yes
sys_error_log,12,0,0,24576,False,yes
sys_page_registry,11,11,6,32768,True,yes
sys_role_templates,6,15,3,49152,True,yes
sys_schema_registry,10,20,0,32768,True,yes
sys_settings,3,1,1,24576,False,yes